student_id,iso_week,logins,submissions,forum_posts,minutes_on_platform
100001,1,5,0,0,132
100001,2,2,0,0,54
100001,3,1,0,0,46
100001,4,3,0,0,66
100001,5,1,0,0,25
100001,6,0,0,0,0
100001,7,3,0,0,122
100001,8,2,0,0,67
100001,9,1,0,1,33
100001,10,1,0,0,55
100001,11,2,0,0,36
100001,12,3,1,0,71
100001,13,1,2,0,17
100001,14,2,0,0,30
100002,1,7,0,0,175
100002,2,9,2,1,258
100002,3,4,0,1,106
100002,4,9,2,1,248
100002,5,7,2,4,164
100002,6,9,0,0,252
100002,7,11,1,1,247
100002,8,14,1,0,365
100002,9,7,1,0,155
100002,10,9,1,1,246
100002,11,9,1,0,245
100002,12,4,0,0,133
100002,13,5,0,1,156
100002,14,6,1,2,182
100003,1,3,1,1,72
100003,2,3,0,3,50
100003,3,5,0,1,135
100003,4,4,0,0,149
100003,5,4,0,0,118
100003,6,2,0,0,41
100003,7,4,1,0,125
100003,8,4,0,0,98
100003,9,2,1,2,52
100003,10,4,0,0,106
100003,11,5,0,0,117
100003,12,5,0,0,92
100003,13,9,1,0,256
100003,14,10,2,1,261
100004,1,6,0,0,154
100004,2,2,0,0,22
100004,3,0,0,0,0
100004,4,2,0,0,70
100004,5,1,0,0,35
100004,6,1,1,1,0
100004,7,0,0,0,0
100004,8,0,0,0,0
100004,9,0,0,0,0
100004,10,2,0,1,56
100004,11,0,0,0,9
100004,12,3,0,0,75
100004,13,1,0,0,66
100004,14,0,0,0,0
100005,1,6,1,1,165
100005,2,3,0,1,44
100005,3,8,0,2,199
100005,4,10,1,2,228
100005,5,7,1,1,173
100005,6,12,0,0,305
100005,7,7,2,2,168
100005,8,5,0,2,138
100005,9,5,0,2,149
100005,10,12,0,3,316
100005,11,13,0,1,341
100005,12,9,1,1,239
100005,13,5,0,3,107
100005,14,3,0,1,62
100006,1,0,0,0,0
100006,2,3,0,0,47
100006,3,1,0,0,33
100006,4,1,0,0,24
100006,5,1,0,0,43
100006,6,0,0,0,0
100006,7,0,0,0,0
100006,8,0,0,0,0
100006,9,0,0,0,0
100006,10,0,0,0,54
100006,11,0,0,0,0
100006,12,0,0,0,36
100006,13,0,0,0,29
100006,14,0,0,0,10
100007,1,5,0,0,131
100007,2,8,0,2,201
100007,3,3,1,0,101
100007,4,6,0,0,140
100007,5,3,0,1,93
100007,6,6,0,0,134
100007,7,4,0,0,88
100007,8,2,0,1,49
100007,9,5,0,1,121
100007,10,5,0,1,148
100007,11,3,0,1,57
100007,12,9,1,0,230
100007,13,6,1,1,134
100007,14,3,0,1,61
100008,1,4,0,0,106
100008,2,3,0,0,36
100008,3,4,0,1,99
100008,4,1,0,0,26
100008,5,5,0,0,116
100008,6,8,0,0,200
100008,7,3,1,0,57
100008,8,5,0,1,138
100008,9,1,1,1,38
100008,10,4,1,2,128
100008,11,3,0,0,73
100008,12,2,2,1,42
100008,13,2,0,0,56
100008,14,4,0,1,93
100009,1,5,1,3,143
100009,2,1,1,0,47
100009,3,6,0,0,144
100009,4,6,0,0,179
100009,5,8,0,1,201
100009,6,3,0,2,97
100009,7,5,1,0,120
100009,8,1,0,0,20
100009,9,1,0,0,31
100009,10,0,0,1,0
100009,11,3,0,1,103
100009,12,1,1,0,38
100009,13,2,0,0,52
100009,14,3,0,2,88
100010,1,6,1,1,168
100010,2,9,2,0,254
100010,3,12,0,1,301
100010,4,8,0,1,193
100010,5,9,1,1,227
100010,6,11,2,1,297
100010,7,9,1,0,248
100010,8,9,1,1,227
100010,9,8,0,0,212
100010,10,9,1,0,241
100010,11,5,1,4,164
100010,12,5,0,0,145
100010,13,4,1,1,103
100010,14,8,1,1,191
100011,1,8,0,1,201
100011,2,7,1,0,200
100011,3,4,0,0,116
100011,4,3,1,2,93
100011,5,4,1,1,92
100011,6,5,1,0,125
100011,7,7,0,0,208
100011,8,3,0,1,93
100011,9,4,0,1,72
100011,10,3,1,1,72
100011,11,9,0,0,251
100011,12,5,1,2,143
100011,13,5,0,1,119
100011,14,8,1,0,182
100012,1,5,0,0,133
100012,2,6,0,0,153
100012,3,5,0,1,130
100012,4,4,0,0,91
100012,5,4,0,1,115
100012,6,1,1,1,0
100012,7,9,0,0,242
100012,8,3,0,0,100
100012,9,3,0,1,49
100012,10,5,1,0,158
100012,11,3,1,0,104
100012,12,5,1,0,111
100012,13,3,0,0,71
100012,14,2,0,0,75
100013,1,2,0,0,70
100013,2,6,0,0,149
100013,3,2,0,0,53
100013,4,0,0,0,0
100013,5,3,0,0,41
100013,6,0,0,0,1
100013,7,2,0,0,58
100013,8,1,0,0,59
100014,1,2,1,1,32
100014,2,6,0,2,148
100014,3,6,2,1,150
100014,4,6,2,1,145
100014,5,3,0,0,103
100014,6,10,0,0,241
100014,7,10,1,0,262
100014,8,4,0,1,102
100014,9,6,1,2,162
100014,10,5,1,0,126
100014,11,7,1,2,156
100014,12,6,1,1,161
100014,13,7,2,3,182
100014,14,4,0,1,124
100015,1,7,1,2,218
100015,2,10,0,0,267
100015,3,6,0,1,139
100015,4,3,1,1,73
100015,5,6,1,2,125
100015,6,5,2,0,129
100015,7,3,1,4,77
100015,8,9,0,0,211
100015,9,5,1,0,126
100015,10,4,1,1,127
100015,11,8,1,1,210
100015,12,4,1,0,86
100015,13,7,2,1,190
100015,14,5,0,1,119
100016,1,1,0,0,27
100016,2,4,0,0,115
100016,3,4,0,0,102
100016,4,4,0,0,92
100016,5,1,0,0,23
100016,6,2,0,1,50
100016,7,2,0,0,28
100016,8,1,1,0,32
100016,9,1,0,0,7
100016,10,2,0,1,45
100016,11,1,0,0,17
100016,12,0,0,0,0
100016,13,1,0,0,49
100016,14,3,0,0,94
100017,1,6,0,2,167
100017,2,6,1,1,135
100017,3,9,1,2,221
100017,4,10,0,2,214
100017,5,5,0,2,134
100017,6,4,0,1,100
100017,7,8,1,0,198
100017,8,11,1,0,314
100017,9,7,0,2,211
100017,10,5,1,3,123
100017,11,11,1,0,259
100017,12,11,1,0,306
100017,13,5,1,0,133
100017,14,3,1,1,75
100018,1,5,0,0,134
100018,2,4,0,0,97
100018,3,0,0,0,15
100018,4,1,0,0,11
100018,5,1,0,0,27
100018,6,1,0,0,45
100018,7,1,0,0,8
100018,8,0,0,0,29
100018,9,2,0,0,61
100018,10,2,0,0,60
100018,11,0,0,0,12
100018,12,0,0,0,0
100018,13,0,0,0,0
100018,14,2,0,0,47
100019,1,11,0,2,282
100019,2,3,1,1,106
100019,3,9,0,0,208
100019,4,7,1,3,200
100019,5,4,1,1,104
100019,6,6,2,1,162
100019,7,4,1,0,130
100019,8,6,0,0,117
100019,9,7,2,1,169
100019,10,7,1,0,209
100019,11,9,1,1,276
100019,12,9,0,2,213
100019,13,8,1,2,198
100019,14,9,0,0,243
100020,1,1,0,0,32
100020,2,2,0,0,39
100020,3,1,0,0,27
100020,4,2,0,0,21
100020,5,1,0,0,21
100020,6,0,0,0,0
100020,7,1,0,0,11
100020,8,1,0,0,29
100020,9,0,0,0,14
100020,10,2,0,0,7
100020,11,0,0,0,0
100020,12,0,0,1,0
100020,13,0,0,0,0
100020,14,0,0,0,4
100021,1,7,1,0,187
100021,2,7,2,0,158
100021,3,14,0,1,329
100021,4,7,1,1,199
100021,5,6,0,0,166
100021,6,4,1,0,108
100021,7,2,0,0,41
100021,8,0,2,1,7
100021,9,5,1,1,113
100021,10,8,1,3,221
100021,11,10,2,0,271
100021,12,6,1,1,133
100021,13,8,0,2,221
100021,14,6,0,1,144
100022,1,2,0,0,42
100022,2,5,0,0,116
100022,3,4,0,0,91
100022,4,5,0,0,127
100022,5,4,0,0,85
100022,6,1,0,0,16
100022,7,2,0,0,51
100022,8,0,1,0,12
100022,9,3,1,0,92
100022,10,2,1,0,64
100022,11,0,0,1,0
100022,12,1,0,0,22
100022,13,0,0,0,5
100022,14,0,0,0,0
100023,1,2,0,0,42
100023,2,2,0,0,36
100023,3,1,0,0,30
100023,4,0,0,0,0
100023,5,2,0,0,58
100024,1,2,0,0,76
100024,2,5,0,0,81
100024,3,3,0,0,51
100024,4,3,0,0,97
100024,5,0,0,0,0
100024,6,0,0,0,8
100024,7,0,0,0,0
100024,8,1,0,0,13
100024,9,1,0,0,2
100024,10,2,0,1,74
100024,11,2,0,0,66
100024,12,0,0,1,8
100024,13,1,0,0,38
100024,14,1,0,0,17
100025,1,3,0,0,59
100025,2,1,0,1,0
100025,3,2,0,0,27
100025,4,1,0,1,36
100025,5,1,0,1,29
100025,6,3,2,1,48
100025,7,3,0,0,69
100025,8,2,0,0,63
100025,9,0,0,0,11
100025,10,2,0,0,56
100025,11,0,0,0,0
100025,12,0,0,0,18
100025,13,2,0,1,82
100025,14,1,1,0,29
100026,1,3,1,1,65
100026,2,0,1,0,0
100026,3,3,0,0,76
100026,4,7,1,0,197
100026,5,4,1,0,90
100026,6,5,0,0,151
100026,7,3,2,1,61
100026,8,4,2,0,123
100026,9,3,0,0,61
100026,10,3,0,2,79
100026,11,10,0,0,263
100026,12,4,0,0,103
100026,13,6,0,0,144
100026,14,4,1,0,67
100027,1,7,0,1,173
100027,2,6,0,1,136
100027,3,11,1,0,255
100027,4,4,1,0,79
100027,5,4,0,0,124
100027,6,3,1,2,89
100027,7,3,1,0,82
100027,8,7,1,1,161
100027,9,5,2,1,131
100027,10,2,0,1,47
100028,1,6,0,0,157
100028,2,4,0,0,115
100028,3,1,0,0,40
100028,4,1,0,0,49
100028,5,3,0,0,66
100028,6,2,0,1,50
100028,7,0,0,0,11
100028,8,2,0,0,87
100028,9,0,0,1,0
100028,10,0,0,0,0
100028,11,0,0,0,8
100028,12,1,0,1,28
100028,13,0,0,0,8
100028,14,2,0,0,50
100029,1,0,0,0,0
100029,2,2,0,0,69
100029,3,2,1,0,61
100029,4,3,0,0,68
100029,5,2,1,0,76
100029,6,1,0,0,23
100029,7,0,0,0,1
100029,8,0,0,0,1
100029,9,1,0,0,44
100029,10,0,0,0,11
100029,11,0,0,0,0
100029,12,0,0,0,5
100029,13,0,0,0,0
100029,14,0,0,0,0
100030,1,4,0,0,131
100030,2,5,0,0,117
100030,3,5,0,0,125
100030,4,2,0,0,68
100030,5,0,0,0,0
100030,6,2,0,0,50
100030,7,2,0,0,73
100030,8,2,0,0,59
100030,9,0,1,0,0
100030,10,4,0,0,119
100030,11,2,0,2,53
100030,12,2,1,0,64
100030,13,1,0,0,25
100030,14,0,1,0,13
100031,1,6,0,1,177
100031,2,4,0,1,129
100031,3,10,0,0,264
100031,4,8,0,0,214
100031,5,10,1,0,233
100031,6,5,0,1,140
100031,7,12,0,1,319
100031,8,7,1,1,182
100031,9,6,1,0,184
100031,10,5,0,0,117
100031,11,4,2,0,89
100031,12,11,1,4,284
100031,13,9,1,2,220
100031,14,11,1,2,282
100032,1,10,1,0,235
100032,2,13,0,0,347
100032,3,12,0,0,318
100032,4,10,1,1,289
100032,5,14,1,2,363
100032,6,12,1,2,333
100032,7,10,0,1,235
100032,8,11,2,2,287
100032,9,10,0,2,232
100032,10,12,0,1,286
100032,11,8,1,0,210
100032,12,13,0,1,335
100032,13,9,0,3,207
100032,14,11,1,0,289
100033,1,3,0,0,50
100033,2,3,0,0,106
100033,3,2,0,0,72
100033,4,2,0,0,32
100033,5,2,0,0,36
100033,6,1,0,0,27
100033,7,3,0,0,100
100033,8,1,0,0,52
100033,9,1,0,0,35
100033,10,2,0,0,62
100033,11,0,0,1,0
100033,12,0,1,0,40
100033,13,1,0,0,34
100033,14,1,0,0,42
100034,1,3,0,0,81
100034,2,3,0,0,62
100034,3,3,0,0,93
100034,4,3,0,1,59
100034,5,1,1,0,40
100034,6,4,0,0,91
100034,7,3,0,0,83
100034,8,3,0,0,89
100034,9,0,0,1,0
