student_id,course_code,term,final_grade,passed
100001,BI101,2026-T3,55.5,True
100001,BI102,2026-T3,53.1,True
100001,CH110,2026-T3,25.4,False
100001,DS100,2026-T3,72.1,True
100002,BI101,2026-T3,74.0,True
100002,BI102,2026-T3,68.5,True
100002,DS100,2026-T3,61.1,True
100003,EC101,2026-T3,98.8,True
100003,EC102,2026-T3,72.5,True
100003,MA110,2026-T3,55.3,True
100003,DS100,2026-T3,66.7,True
100004,CS101,2025-T3,57.6,True
100004,CS102,2025-T3,72.8,True
100004,MA110,2025-T3,37.6,False
100004,DS100,2025-T3,73.9,True
100005,CS101,2024-T3,64.5,True
100005,CS102,2024-T3,72.7,True
100005,DS100,2024-T3,52.3,True
100006,CS101,2026-T3,49.3,False
100006,CS102,2026-T3,60.8,True
100006,MA110,2026-T3,28.6,False
100006,DS100,2026-T3,43.2,False
100007,CS101,2026-T3,56.8,True
100007,CS102,2026-T3,62.6,True
100007,MA110,2026-T3,39.5,False
100007,DS100,2026-T3,65.6,True
100008,EC101,2024-T3,55.9,True
100008,EC102,2024-T3,59.4,True
100008,MA110,2024-T3,43.4,False
100008,DS100,2024-T3,48.5,False
100009,CS101,2026-T3,54.9,True
100009,CS102,2026-T3,62.6,True
100009,MA110,2026-T3,57.4,True
100009,DS100,2026-T3,63.1,True
100010,PS101,2025-T3,85.7,True
100010,PS102,2025-T3,64.5,True
100010,ST110,2025-T3,53.1,True
100010,DS100,2025-T3,76.6,True
100011,BI101,2024-T3,53.4,True
100011,BI102,2024-T3,57.6,True
100011,CH110,2024-T3,50.3,True
100011,DS100,2024-T3,74.7,True
100012,PS101,2025-T3,77.3,True
100012,PS102,2025-T3,47.9,False
100012,ST110,2025-T3,33.0,False
100012,DS100,2025-T3,76.7,True
100013,CS101,2025-T3,51.0,True
100013,CS102,2025-T3,34.2,False
100013,MA110,2025-T3,52.6,True
100013,DS100,2025-T3,49.2,False
100014,EC101,2025-T3,58.7,True
100014,EC102,2025-T3,71.7,True
100014,MA110,2025-T3,61.7,True
100014,DS100,2025-T3,65.8,True
100015,EC101,2024-T3,75.2,True
100015,EC102,2024-T3,63.4,True
100015,MA110,2024-T3,44.4,False
100015,DS100,2024-T3,68.8,True
100016,EC101,2025-T3,55.2,True
100016,EC102,2025-T3,50.3,True
100016,MA110,2025-T3,45.3,False
100016,DS100,2025-T3,43.7,False
100017,BI101,2024-T3,77.9,True
100017,BI102,2024-T3,77.0,True
100017,CH110,2024-T3,54.4,True
100017,DS100,2024-T3,56.3,True
100018,BI101,2026-T3,54.9,True
100018,BI102,2026-T3,55.4,True
100018,CH110,2026-T3,56.0,True
100018,DS100,2026-T3,68.0,True
100019,CS101,2024-T3,73.5,True
100019,CS102,2024-T3,56.5,True
100019,MA110,2024-T3,45.6,False
100019,DS100,2024-T3,71.5,True
100020,CS101,2026-T3,65.7,True
100020,CS102,2026-T3,56.0,True
100020,MA110,2026-T3,37.3,False
100020,DS100,2026-T3,63.7,True
100021,BI101,2025-T3,64.2,True
100021,BI102,2025-T3,64.1,True
100021,CH110,2025-T3,50.8,True
100021,DS100,2025-T3,46.9,False
100022,EC101,2025-T3,58.3,True
100022,EC102,2025-T3,55.4,True
100022,MA110,2025-T3,35.5,False
100022,DS100,2025-T3,60.1,True
100023,CS101,2024-T3,55.3,True
100023,CS102,2024-T3,29.7,False
100023,MA110,2024-T3,14.4,False
100023,DS100,2024-T3,53.9,True
100024,CS101,2025-T3,43.0,False
100024,CS102,2025-T3,37.8,False
100024,DS100,2025-T3,53.2,True
100025,BI101,2026-T3,66.2,True
100025,BI102,2026-T3,60.1,True
100025,CH110,2026-T3,33.0,False
100025,DS100,2026-T3,35.2,False
100026,CS101,2026-T3,70.9,True
100026,CS102,2026-T3,72.4,True
100026,MA110,2026-T3,32.1,False
100026,DS100,2026-T3,70.8,True
100027,CS101,2024-T3,59.6,True
100027,CS102,2024-T3,49.5,False
100027,MA110,2024-T3,44.0,False
100027,DS100,2024-T3,51.2,True
100028,EC101,2025-T3,52.1,True
100028,EC102,2025-T3,62.0,True
100028,DS100,2025-T3,46.7,False
100029,PS101,2026-T3,57.7,True
100029,PS102,2026-T3,70.1,True
100029,ST110,2026-T3,40.7,False
100029,DS100,2026-T3,52.5,True
100030,PS101,2025-T3,45.8,False
100030,PS102,2025-T3,51.9,True
100030,ST110,2025-T3,20.8,False
100030,DS100,2025-T3,61.5,True
100031,PS101,2026-T3,64.1,True
100031,PS102,2026-T3,66.1,True
100031,ST110,2026-T3,34.3,False
100031,DS100,2026-T3,42.8,False
100032,EC101,2026-T3,85.1,True
100032,EC102,2026-T3,86.2,True
100032,MA110,2026-T3,53.1,True
100032,DS100,2026-T3,70.6,True
100033,BI101,2024-T3,51.6,True
100033,BI102,2024-T3,45.2,False
100033,CH110,2024-T3,37.6,False
100033,DS100,2024-T3,44.5,False
100034,CS101,2026-T3,63.8,True
100034,CS102,2026-T3,66.5,True
100034,MA110,2026-T3,46.7,False
100034,DS100,2026-T3,60.1,True
100035,BI101,2025-T3,52.3,True
100035,BI102,2025-T3,48.6,False
100035,DS100,2025-T3,53.7,True
100036,CS101,2024-T3,56.7,True
100036,CS102,2024-T3,70.0,True
100036,MA110,2024-T3,44.5,False
100036,DS100,2024-T3,62.6,True
100037,PS101,2024-T3,66.7,True
100037,PS102,2024-T3,64.2,True
100037,ST110,2024-T3,56.8,True
100037,DS100,2024-T3,57.0,True
100038,PS101,2025-T3,81.0,True
100038,PS102,2025-T3,73.7,True
100038,ST110,2025-T3,49.5,False
100038,DS100,2025-T3,74.4,True
100039,EC101,2025-T3,59.5,True
100039,EC102,2025-T3,55.8,True
100039,MA110,2025-T3,41.1,False
100039,DS100,2025-T3,61.1,True
100040,EC101,2026-T3,65.8,True
100040,EC102,2026-T3,69.1,True
100040,MA110,2026-T3,31.3,False
100040,DS100,2026-T3,61.3,True
100041,EC101,2025-T3,66.6,True
100041,EC102,2025-T3,42.8,False
100041,MA110,2025-T3,44.1,False
100041,DS100,2025-T3,66.1,True
100042,CS101,2024-T3,74.3,True
100042,CS102,2024-T3,63.5,True
100042,MA110,2024-T3,50.0,True
100042,DS100,2024-T3,74.1,True
100043,BI101,2024-T3,51.2,True
100043,BI102,2024-T3,56.7,True
100043,CH110,2024-T3,40.4,False
