student_id,early_logins,early_submissions,early_minutes,midterm_satisfaction,withdrew,withdrew_week
100001,11,0,298,,False,
100002,29,4,787,2.0,False,
100003,15,1,406,,False,
100004,10,0,246,2.0,False,
100005,27,2,636,3.0,False,
100006,5,0,104,,False,
100007,22,1,573,2.0,False,
100008,12,0,267,,False,
100009,18,2,513,4.0,False,
100010,35,3,916,3.0,False,
100011,22,2,610,2.0,False,
100012,20,0,507,4.0,False,
100013,10,0,272,4.0,True,8.0
100014,20,5,475,2.0,False,
100015,26,2,697,5.0,False,
100016,13,0,336,3.0,False,
100017,31,2,737,5.0,False,
100018,10,0,257,,False,
100019,30,2,796,3.0,False,
100020,6,0,119,,False,
100021,35,4,873,4.0,False,
100022,16,0,376,4.0,False,
100023,5,0,108,,True,5.0
100024,13,0,305,4.0,False,
100025,7,0,122,,False,
100026,13,3,338,5.0,False,
100027,28,2,643,5.0,True,10.0
100028,12,0,361,,False,
100029,7,1,198,,False,
100030,16,0,441,4.0,False,
100031,28,0,784,4.0,False,
100032,45,2,1189,4.0,False,
100033,10,0,260,3.0,False,
100034,12,0,295,,False,
100035,13,1,404,3.0,False,
100036,11,4,275,,False,
100037,20,3,490,4.0,False,
100038,9,1,158,,False,
100039,16,3,456,3.0,False,
100040,8,2,125,,False,
100041,16,2,428,4.0,False,
100042,22,4,640,4.0,False,
100043,11,1,317,,False,
100044,24,3,640,4.0,False,
100045,13,0,337,,False,
100046,6,0,155,3.0,False,
100047,8,1,136,,False,
100048,9,0,209,3.0,False,
100049,13,2,313,2.0,False,
100050,30,1,741,5.0,False,
100051,17,0,422,3.0,False,
100052,10,2,271,2.0,False,
100053,29,2,709,3.0,False,
100054,18,0,452,2.0,False,
100055,24,1,665,4.0,False,
100056,12,3,293,,False,
100057,9,0,211,,False,
100058,24,1,573,,False,
100059,13,3,334,4.0,False,
100060,30,4,778,5.0,False,
100061,19,0,494,3.0,True,8.0
100062,11,0,293,,False,
100063,32,1,815,2.0,False,
100064,10,2,264,4.0,False,
100065,18,3,414,5.0,False,
100066,27,1,679,5.0,False,
100067,7,0,216,,False,
100068,40,6,1015,3.0,False,
100069,4,0,94,,False,
100070,21,1,516,4.0,False,
100071,47,5,1169,,False,
100072,6,1,134,,False,
100073,22,2,580,2.0,False,
100074,13,2,381,,False,
100075,9,1,150,,False,
100076,15,1,351,3.0,True,13.0
100077,22,3,587,2.0,False,
100078,8,0,201,,False,
100079,9,0,233,4.0,False,
100080,3,0,62,,False,
100081,25,2,617,4.0,False,
100082,13,3,385,2.0,False,
100083,22,0,516,5.0,False,
100084,20,1,545,3.0,True,9.0
100085,9,0,227,,True,11.0
100086,20,2,445,5.0,False,
100087,14,0,350,5.0,False,
100088,29,4,734,4.0,False,
100089,13,0,352,3.0,False,
100090,36,2,898,3.0,False,
100091,6,0,185,3.0,True,7.0
100092,20,4,526,4.0,False,
100093,27,1,676,2.0,False,
100094,33,2,800,,False,
100095,24,2,669,4.0,False,
100096,14,0,345,3.0,True,7.0
100097,19,0,519,2.0,False,
100098,31,2,787,4.0,False,
100099,28,2,730,3.0,False,
100100,11,1,269,4.0,False,
100101,14,2,368,2.0,False,
100102,2,0,72,,False,
100103,8,0,218,2.0,False,
100104,17,2,436,3.0,False,
100105,36,4,936,5.0,False,
100106,31,5,770,5.0,False,
100107,26,3,639,3.0,False,
100108,13,0,312,,False,
