student_id,programme,entry_cohort,entry_score,study_mode,age_at_entry,first_generation
100001,Biology,2026,62.3,Full-time,22,False
100002,Biology,2026,62.7,Part-time,34,False
100003,Economics,2026,73.8,Full-time,20,True
100004,Computer Science,2025,62.7,Full-time,23,False
100005,Computer Science,2024,51.8,Part-time,30,False
100006,Computer Science,2026,48.4,Full-time,19,False
100007,Computer Science,2026,69.5,Full-time,20,True
100008,Economics,2024,54.3,Full-time,21,True
100009,Computer Science,2026,67.4,Full-time,21,False
100010,Psychology,2025,81.0,Full-time,20,False
100011,Biology,2024,56.7,Full-time,17,False
100012,Psychology,2025,61.1,Full-time,17,True
100013,Computer Science,2025,63.0,Full-time,20,False
100014,Economics,2025,70.9,Full-time,22,False
100015,Economics,2024,76.6,Full-time,19,False
100016,Economics,2025,48.9,Full-time,18,False
100017,Biology,2024,75.3,Full-time,21,False
100018,Biology,2026,75.0,Full-time,21,False
100019,Computer Science,2024,60.4,Full-time,23,False
100020,Computer Science,2026,77.1,Full-time,19,True
100021,Biology,2025,71.1,Full-time,22,False
100022,Economics,2025,61.6,Full-time,22,True
100023,Computer Science,2024,54.4,Part-time,30,False
100024,Computer Science,2025,51.2,Part-time,24,False
100025,Biology,2026,56.5,Part-time,22,False
100026,Computer Science,2026,68.5,Full-time,19,False
100027,Computer Science,2024,40.9,Full-time,22,True
100028,Economics,2025,43.4,Part-time,23,False
100029,Psychology,2026,68.1,Full-time,21,False
100030,Psychology,2025,59.1,Full-time,18,False
100031,Psychology,2026,53.6,Full-time,20,False
100032,Economics,2026,72.4,Full-time,20,False
100033,Biology,2024,53.8,Full-time,21,True
100034,Computer Science,2026,64.0,Full-time,20,True
100035,Biology,2025,55.4,Part-time,27,False
100036,Computer Science,2024,79.4,Part-time,24,False
100037,Psychology,2024,60.6,Full-time,19,False
100038,Psychology,2025,68.8,Full-time,20,False
100039,Economics,2025,49.1,Full-time,20,False
100040,Economics,2026,69.6,Full-time,20,True
100041,Economics,2025,53.1,Full-time,20,False
100042,Computer Science,2024,79.1,Full-time,20,False
100043,Biology,2024,70.0,Full-time,19,False
100044,Economics,2026,56.0,Part-time,30,True
100045,Economics,2026,45.7,Full-time,19,True
100046,Biology,2025,65.8,Full-time,21,False
100047,Computer Science,2026,73.0,Full-time,19,False
100048,Computer Science,2026,65.9,Full-time,20,False
100049,Computer Science,2025,72.2,Full-time,20,False
100050,Biology,2024,56.0,Full-time,19,True
100051,Psychology,2025,85.7,Part-time,26,False
100052,Computer Science,2025,63.7,Full-time,22,False
100053,Psychology,2024,71.6,Full-time,23,True
100054,Economics,2025,57.4,Full-time,18,False
100055,Biology,2025,61.1,Part-time,33,False
100056,Biology,2025,60.1,Part-time,34,False
100057,Computer Science,2024,66.6,Full-time,19,True
100058,Computer Science,2025,63.8,Part-time,28,False
100059,Psychology,2026,90.2,Full-time,23,False
100060,Psychology,2026,85.2,Full-time,20,False
100061,Economics,2024,58.2,Full-time,20,False
100062,Biology,2024,59.0,Full-time,19,False
100063,Psychology,2026,68.1,Full-time,18,True
100064,Computer Science,2024,47.6,Full-time,17,False
100065,Computer Science,2024,75.7,Full-time,20,False
100066,Computer Science,2026,65.6,Full-time,20,False
100067,Psychology,2024,62.3,Full-time,20,True
100068,Computer Science,2024,90.3,Full-time,19,True
100069,Economics,2026,62.0,Full-time,21,False
100070,Biology,2025,64.7,Full-time,21,False
100071,Biology,2026,79.7,Part-time,31,False
100072,Economics,2024,65.8,Full-time,18,False
100073,Psychology,2025,71.4,Full-time,22,False
100074,Psychology,2025,58.8,Full-time,21,False
100075,Economics,2025,65.6,Full-time,21,False
100076,Psychology,2025,64.2,Full-time,17,False
100077,Psychology,2025,65.0,Full-time,18,False
100078,Computer Science,2026,65.1,Part-time,18,False
100079,Computer Science,2024,60.3,Full-time,18,False
100080,Biology,2024,71.5,Full-time,22,False
100081,Economics,2025,64.6,Full-time,20,True
100082,Biology,2025,55.7,Full-time,20,False
100083,Biology,2026,54.0,Full-time,18,False
100084,Biology,2026,59.6,Full-time,19,False
100085,Biology,2026,56.9,Full-time,19,False
100086,Biology,2026,73.1,Full-time,22,False
100087,Economics,2025,54.5,Full-time,23,False
100088,Psychology,2026,56.9,Full-time,21,True
100089,Biology,2026,66.5,Full-time,18,False
100090,Computer Science,2026,56.0,Full-time,21,True
100091,Psychology,2024,48.9,Full-time,22,False
100092,Biology,2025,62.0,Full-time,17,True
100093,Economics,2025,76.6,Full-time,21,False
100094,Biology,2024,72.1,Full-time,19,False
100095,Biology,2024,67.9,Full-time,21,True
100096,Economics,2024,75.8,Full-time,21,True
100097,Computer Science,2024,73.8,Full-time,24,True
100098,Psychology,2026,50.0,Full-time,20,False
100099,Psychology,2024,79.1,Full-time,19,True
100100,Computer Science,2025,62.1,Full-time,18,False
100101,Computer Science,2026,59.0,Full-time,20,False
100102,Psychology,2025,60.6,Full-time,21,False
100103,Economics,2025,74.0,Full-time,21,True
100104,Economics,2025,61.6,Full-time,20,False
100105,Psychology,2024,94.8,Full-time,19,False
100106,Computer Science,2026,73.0,Full-time,22,False
100107,Computer Science,2026,65.4,Part-time,24,True
100108,Biology,2026,68.4,Full-time,20,True
100109,Biology,2026,75.8,Full-time,21,False
100110,Biology,2024,64.8,Full-time,19,True
100111,Economics,2026,65.1,Full-time,21,False
100112,Psychology,2026,54.1,Full-time,19,True
100113,Computer Science,2026,85.3,Full-time,20,False
100114,Biology,2026,54.6,Full-time,18,True
100115,Psychology,2025,53.3,Full-time,21,False
100116,Economics,2026,70.6,Full-time,17,True
100117,Computer Science,2024,56.9,Full-time,21,False
100118,Biology,2025,54.9,Full-time,22,True
100119,Psychology,2026,51.5,Full-time,21,False
100120,Computer Science,2026,64.8,Full-time,22,False
100121,Psychology,2026,69.4,Full-time,21,True
100122,Biology,2025,72.4,Full-time,18,True
100123,Psychology,2026,71.3,Part-time,25,False
100124,Computer Science,2025,66.4,Full-time,20,True
100125,Biology,2024,84.2,Full-time,17,False
100126,Biology,2024,81.6,Full-time,19,False
100127,Computer Science,2025,69.0,Full-time,17,True
100128,Biology,2026,73.2,Full-time,20,True
100129,Computer Science,2024,76.9,Full-time,18,False
100130,Biology,2024,69.2,Part-time,27,True
100131,Economics,2024,86.3,Full-time,21,True
100132,Economics,2024,65.5,Full-time,20,False
100133,Economics,2025,71.9,Full-time,18,True
100134,Computer Science,2026,81.6,Full-time,22,False
100135,Economics,2024,48.3,Full-time,19,False
100136,Computer Science,2026,57.0,Part-time,29,True
100137,Computer Science,2025,67.5,Full-time,21,False
100138,Computer Science,2025,47.0,Full-time,22,True
100139,Computer Science,2024,53.5,Full-time,22,True
100140,Economics,2026,78.6,Full-time,21,False
100141,Psychology,2026,65.7,Full-time,19,False
100142,Biology,2025,68.0,Full-time,19,False
100143,Economics,2024,59.6,Full-time,20,False
100144,Computer Science,2025,83.1,Full-time,18,False
100145,Computer Science,2024,74.0,Full-time,22,False
100146,Psychology,2025,55.7,Part-time,33,True
100147,Computer Science,2025,52.4,Full-time,20,False
100148,Computer Science,2025,72.9,Full-time,19,False
100149,Economics,2024,68.3,Full-time,21,True
100150,Psychology,2024,73.4,Full-time,18,True
100151,Psychology,2024,46.9,Full-time,20,False
100152,Biology,2024,73.2,Full-time,17,False
100153,Computer Science,2024,54.2,Full-time,19,False
100154,Biology,2025,53.1,Part-time,26,True
100155,Economics,2025,68.3,Full-time,20,True
100156,Computer Science,2024,70.4,Full-time,18,False
100157,Biology,2026,48.2,Full-time,19,True
100158,Biology,2024,71.3,Full-time,18,False
100159,Economics,2024,70.5,Full-time,19,True
100160,Psychology,2024,68.6,Full-time,21,False
100161,Computer Science,2026,77.0,Full-time,19,True
100162,Computer Science,2025,46.9,Full-time,21,False
100163,Economics,2024,55.3,Full-time,18,False
100164,Computer Science,2026,69.9,Full-time,19,False
100165,Computer Science,2025,87.0,Full-time,20,False
100166,Biology,2024,49.6,Full-time,20,True
100167,Economics,2026,61.7,Full-time,18,True
100168,Computer Science,2025,66.8,Full-time,17,True
100169,Psychology,2026,74.5,Full-time,18,True
100170,Biology,2024,70.9,Full-time,20,False
100171,Computer Science,2025,67.4,Full-time,20,True
100172,Biology,2024,53.8,Part-time,26,False
100173,Economics,2025,60.2,Full-time,21,False
100174,Economics,2026,74.0,Full-time,20,False
100175,Economics,2024,73.7,Part-time,23,False
100176,Computer Science,2026,64.3,Full-time,21,False
100177,Computer Science,2026,49.3,Full-time,19,False
100178,Economics,2026,62.8,Full-time,21,False
100179,Biology,2025,64.6,Full-time,20,False
100180,Computer Science,2026,56.2,Part-time,25,False
100181,Economics,2024,46.7,Part-time,24,False
100182,Economics,2026,58.2,Full-time,21,True
100183,Computer Science,2026,75.3,Full-time,17,False
100184,Biology,2025,69.3,Full-time,19,False
100185,Economics,2025,55.0,Part-time,26,False
100186,Psychology,2026,69.6,Full-time,20,True
100187,Computer Science,2025,73.4,Full-time,19,False
100188,Computer Science,2025,47.3,Full-time,19,True
100189,Computer Science,2024,60.3,Full-time,19,False
100190,Economics,2025,39.6,Full-time,19,False
100191,Psychology,2024,60.4,Full-time,20,False
100192,Economics,2025,68.8,Full-time,18,True
100193,Economics,2026,81.6,Full-time,19,False
100194,Psychology,2026,59.3,Full-time,21,False
100195,Biology,2024,70.2,Full-time,19,False
100196,Computer Science,2024,75.7,Full-time,21,False
