student_id,programme,entry_cohort,entry_score,study_mode,age_at_entry,first_generation,registered_on
101074,Computer Science,2024,59.0,Full-time,18,False,"May 24, 2025"
100859,Computer Science,2025,65.5,Full-time,19,False,2026-01-24
100368,Psychology,2026,73.8,Full-time,20,True,2025-08-29
100142,Biology,2025,68.0,Full-time,19,False,"Feb 07, 2026"
100670,Computer Science,2025,54.7,Full-time,21,False,2024-12-02
100356,Economics,2026,66.7,Full-time,19,False,2025-02-19
100152,biology,2024,73.2,Full-time,17,,2024-12-23
100337,Economics,2026,54.8,Full-time,,,"Oct 08, 2024"
101042,Economics,2024,84.7,Full-time,21,False,17/11/2025
100047,Computer Science,2026,73.0,Full-time,19,False,16/04/2026
100455,Psychology,2025,60.8,Full-time,18,False,2025-04-02
100129,Computer Science,2024,76.9,Full-time,18,False,2024-10-03
100035,Biology,2025,55.4,Part-time,27,False,2024-12-15
100281,Psychology,2024,73.6,Part-time,31,True,"Apr 27, 2026"
100596, Computer Science  ,2026,70.0,Full-time,20,True,"Oct 14, 2025"
100725,computer science,2024,66.1,Full-time,19,False,08/07/2026
101000,Economics,2025,61.6,Full-time,19,False,04/05/2026
100524,Computer Science,2024,67.6,Full-time,17,True,2026-01-02
101011,Psychology,2026,73.8,Full-time,18,True,"Jun 30, 2026"
100110,Biology,2024,64.8,Full-time,19,True,2025-02-01
100688,Psychology,2024,49.3,Full-time,19,False,2025-05-28
100893,Economics,2026,63.0,Full-time,20,True,2025-11-15
100869,Biology,2025,63.9,Full-time,,False,2026-04-24
100936,Psychology,2026,64.5%,Full-time,20,,24/04/2026
101046,Psychology,2024,53.1,Full-time,19,True,2026-03-12
100052,Computer Science,2025,,Full-time,22,False,"Jan 28, 2026"
100598,Economics,2026,60.5,Full-time,20,False,2026-06-17
101120,Computer Science,2026,51.6,Part-time,21,False,2025-05-13
100410,Computer Science,2025,55.7,Full-time,18,False,2024-09-25
100187,Computer Science,2025,73.4,Full-time,19,False,2025-05-11
100409,Psychology,2026,58.2,Full-time,19,False,09/09/2025
100141,Psychology,2026,65.7,Full-time,19,False,16/11/2025
100951,Computer Science,2026,37.1,Full-time,19,True,2025-12-03
100364,Psychology,2025,54.4,Full-time,19,False,2026-07-30
100064,Computer Science,2024,47.6,Full-time,17,False,2026-02-09
101171,Biology,2026,77.6,Full-time,21,False,16/03/2025
101174,Economics,2024,71.2,Full-time,18,False,09/01/2025
101015,Biology,2026,66.1,Part-time,30,False,2025-09-02
100099,Psychology,2024,79.1,Full-time,19,,2025-05-20
100190,Economics,2025,39.6,Full-time,19,False,"Feb 18, 2025"
100622,Computer Science,2024,49.1,Full-time,19,True,2025-03-03
100221,Psychology,2024,72.1,Full-time,18,False,2025-11-16
100667,Psychology,2025,80.0,Full-time,19,False,24/01/2026
100413,Biology,2025,58.4,Part-time,,True,2025-10-03
101017,Biology,2025,61.7,Full-time,21,,2024-10-31
100641, Economics  ,2025,74.0%,Full-time,20,False,2024-11-16
101079,Computer Science,2025,81.0,Full-time,19,False,2025-08-29
100484,Computer Science,2026,56.8,Full-time,22,True,2026-02-10
100998,Computer Science,2024,79.2,Part-time,29,False,2026-03-21
100699,Computer Science,2024,82.2,Full-time,20,False,2025-12-25
100559,Economics,2025,74.7,Full-time,21,True,2025-07-24
101182,Biology,2026,65.0,Full-time,19,True,30/07/2025
100114,Biology,2026,54.6,Full-time,18,True,2026-07-12
100512,Biology,2024,65.6,Full-time,21,True,"Mar 05, 2025"
100217,Biology,2026,60.7,Full-time,20,False,2025-02-10
100527,Biology,2026,78.5,Full-time,19,False,2024-12-11
100351,Computer Science,2026,75.5,Full-time,,True,2025-02-17
101110,Biology,2025,60.7,Full-time,19,False,09/11/2025
101090,biology,2024,61.0,Full-time,22,False,"Jan 10, 2025"
101040,Computer Science,2024,45.8,Full-time,20,True,2024-11-08
100084,Biology,2026,59.6,Full-time,19,False,09/05/2026
100010,Psychology,2025,81.0,Full-time,20,False,2025-05-03
100819,Biology,2025,69.7,Full-time,20,False,2025-03-31
100054,Economics,2025,57.4%,Full-time,18,False,2026-03-30
100672,Computer Science,2026,68.9,Full-time,20,True,23/04/2025
101066,Biology,2026,52.5,Part-time,26,False,2026-06-05
100253,computer science,2025,58.5,Full-time,1,False,2026-08-10
101024,Psychology,2025,51.2,Full-time,19,False,2025-11-16
100474,Psychology,2024,62.6,Full-time,18,True,2026-03-20
100790,Psychology,2025,59.5,Full-time,18,True,2024-11-02
100263,Computer Science,2025,67.9,Full-time,19,True,25/02/2026
100386, Economics  ,2026,52.1,Part-time,30,,2025-03-23
100797,Economics,2026,65.5,Full-time,21,False,2025-07-28
100836,Economics,2024,80.5,Part-time,27,False,2024-10-17
100644,Economics,2026,50.8,Full-time,17,False,"Nov 22, 2025"
100586,Biology,2025,57.6,Part-time,27,False,04/03/2026
100173,Economics,2025,60.2,Full-time,21,False,2025-02-02
100279,Psychology,2024,35.0,Full-time,17,False,2025-10-30
101095,computer science,2024,60.7,Full-time,21,False,2026-01-25
100846,Biology,2025,75.7,Full-time,20,False,2025-01-05
100206,Computer Science,2026,61.5,Full-time,18,False,"Oct 20, 2025"
100542,biology,2025,73.7,Part-time,29,True,2025-12-28
100532,Computer Science,2026,83.8,Full-time,20,True,30/04/2026
100628,Psychology,2026,71.5,Full-time,19,True,"Sep 06, 2025"
100055,biology,2025,61.1,Part-time,33,False,22/03/2025
100317,Biology,2024,80.8,Full-time,19,False,2026-06-01
100493,Computer Science,2025,76.1,Full-time,19,True,2026-01-18
100713,Economics,2026,55.7,Full-time,20,False,"Feb 22, 2026"
100862,Biology,2026,53.9,Full-time,21,False,2026-04-14
100791,Biology,2026,43.2,Full-time,18,False,03/02/2026
100431,Economics,2026,54.4,Part-time,18,True,"Jul 31, 2025"
100147,Computer Science,2025,52.4,Full-time,20,False,2025-03-28
100715,Computer Science,2026,60.8,Part-time,23,False,13/03/2026
100171,Computer Science,2025,67.4,Full-time,20,True,2026-04-19
100041,Economics,2025,53.1,Full-time,20,False,06/05/2026
100507,Psychology,2025,58.3,Full-time,17,False,05/06/2025
100817, Computer Science  ,2024,58.0,Full-time,17,False,2026-04-05
101194,Biology,2024,75.0,Full-time,21,False,2024-11-01
100232,Biology,2026,56.8,Full-time,21,False,2025-07-03
100102,Psychology,2025,60.6,Full-time,21,False,30/11/2024
100798,Computer Science,2024,58.7,Full-time,21,False,2026-06-25
101021,Biology,2025,60.5,Full-time,18,False,13/04/2025
100373,Biology,2026,72.9,Full-time,21,False,08/11/2024
100523,Biology,2025,64.4,Full-time,21,False,2024-10-10
100563,Computer Science,2026,80.3,Full-time,20,True,2025-12-23
100098,Psychology,2026,50.0,Full-time,20,False,2024-09-16
100681,Computer Science,2026,73.3,Full-time,17,False,2026-02-16
100658,Computer Science,2026,65.9,Full-time,,False,12/09/2025
100956,Biology,2024,82.5,Full-time,18,False,2025-08-20
100752,Psychology,2025,63.1,Full-time,22,True,2025-03-03
100552,Computer Science,2026,70.8,Full-time,22,,22/04/2025
100668,Biology,2026,67.7,Full-time,20,True,25/03/2026
101143,Computer Science,2026,66.2,Full-time,21,True,"Apr 12, 2026"
100599,economics,2026,77.6,Full-time,18,False,2026-02-09
100558,Computer Science,2025,61.8,Part-time,24,True,28/06/2025
100701,Computer Science,2024,71.9,Full-time,20,True,16/11/2024
100758,Psychology,2026,44.1,Full-time,23,True,2025-04-19
100419,Biology,2026,58.6,Part-time,24,False,06/11/2025
100854,Psychology,2026,58.5,Full-time,21,False,"Jul 14, 2026"
100881,Economics,2025,77.7,Full-time,20,False,26/05/2026
100978,Computer Science,2026,,Full-time,18,False,2024-11-06
100843,Computer Science,2024,46.2,Full-time,20,False,"Dec 01, 2024"
100180,computer science,2026,56.2,Part-time,25,False,"Oct 22, 2025"
100756,Computer Science,2024,65.3,Full-time,19,False,2024-11-14
100375,Psychology,2025,56.7,Full-time,23,False,01/12/2024
101028,Computer Science,2026,76.3,Full-time,20,False,09/09/2025
100627,Biology,2024,72.3,Full-time,19,True,2024-12-30
100996,Biology,2025,58.2,Full-time,17,False,2024-10-16
100531,Computer Science,2024,60.6,Full-time,21,False,2026-04-01
101178,Psychology,2025,58.2,Full-time,19,,08/12/2024
101157,Psychology,2026,55.7,Full-time,19,False,2025-08-14
100018,Biology,2026,75.0,Full-time,21,False,2025-10-29
100557,biology,2025,52.1,Full-time,23,False,2025-05-21
100254,Economics,2024,50.2,Part-time,25,False,2025-09-26
101140,Computer Science,2025,50.0,Full-time,220,False,16/09/2025
100743,biology,2024,52.1,Full-time,18,False,09/01/2025
100511,Computer Science,2024,78.6,Full-time,20,False,"Nov 01, 2024"
100397,Biology,2024,54.9,Full-time,21,True,"Jan 20, 2026"
100697,Psychology,2026,64.7,Full-time,17,True,2024-11-18
100286, Economics  ,2025,72.1,Full-time,17,False,"May 13, 2025"
101168,Biology,2024,44.9,Full-time,20,False,2025-01-07
100545,Biology,2024,56.6,Part-time,24,False,17/12/2025
100453,Biology,2026,,Part-time,27,False,22/03/2025
100427,Biology,2024,69.9,Part-time,27,False,2024-09-17
